a	aa
developed	D ii v ex l aa p T
dew	D UU
dezil	D ex z aa l
dia	D II aa
dialogues	D ay aa l OO g z
diamond	D ay m aa n D
diany	D ay aa n II
diary	D ay aa r II
dice	D ay s
did	D ii D
didn't	D ii D aa n T
didnot	D ii D aa n T
die	D ay
died	D ay D
diet	D ay aa T
differ	D ii f aa r
difference	D ii f aa r aa n s
different	D ii f aa r aa n T
differently	D ii f r aa n T l II
difficult	D ii f aa k aa l T
difficulties	D ii f aa k aa l T II z
difficultly	D ii f aa k aa l T l II
difficulty	D ii f aa k aa l T II
dig	D ii g
diligently	D ii l aa j aa n T l II
dim	D ii m
dimensions	D ii m ex n sh aa n z
dimwit	D ii m w ii T
din	D ii n
dine	D ay n
dinesh	D ii n ex sh
dinesh's	D ay n aa s ii z
dining	D ay n ii ng
dinner	D ii n aa r
dinners	D ii n aa r z
dint	D ii n T
dioxide	D ay AA k s ay D
dip	D ii p
direct	D aa r ex k T
direction	D aa r ex k sh aa n
directions	D aa r ex k sh aa n z
directly	D aa r ex k T l II
dirt	D aa r T
dirty	D aa r T II
disadvantage	D ii s aa D v ae n T ii j
disagreeing	D ii s aa g r II ii ng
disappear	D ii s aa p ii r
disappeared	D ii s aa p ii r D
disappearing	D ii s aa p ii r ii ng
disarming	D ii s AA r m ii ng
disassociate	D ii s aa s oo sh II ee T
disaster	D ii z ae s T aa r
discount	D ii s k aw n T
discouraged	D ii s k aa r aa j D
discover	D ii s k aa v aa r
discovered	D ii s k aa v aa r D
discovering	D ii s k aa v aa r ii ng
discovery	D ii s k aa v aa r II
discuss	D ii s k aa s
discussing	D ii s k aa s ii ng
discussion	D ii s k aa sh aa n
discussions	D ii s k aa sh aa n z
disease	D ii z II z
diseases	D ii z II z aa z
dish	D ii sh
dismay	D ii s m ee
display	D ii s p l ee
disputes	D ii s p y UU T s
disrespect	D ii s r ii s p ex k T
distance	D ii s T aa n s
distinct	D ii s T ii ng k T
distribute	D ii s T r ii b y UU T
district	D ii s T r ii k T
disturb	D ii s T aa r b
disturbed	D ii s T aa r b D
ditch	D ii c
dive	D ay v
dived	D ay v D
divers	D ay v aa r z
diverse	D ay v aa r s
divide	D ii v ay D
divided	D ii v ay D aa D
diving	D ay v ii ng
dizziness	D ii z II n aa s
dizzy	D ii z II
do	D UU
dock	D AA k
doctor	D AA k T aa r
doctors	D AA k T aa r z
doddooru	D AA D y uu r
dodge	D AA j
doe	D oo
does	D aa z
doesn't	D aa z aa n T
dog	D OO g
dogs	D AA g z
doing	D UU ii ng
doll	D AA l
dollars	D AA l aa r z
dollhouse	D AA l hh aw s
dolphin	D AA l f aa n
dolphins	D AA l f aa n z
domesticated	D aa m ex s T aa k ee T aa D
don	D AA n
don's	D AA n z
don't	D oo n T
done	D aa n
donkey	D AA ng k II
donkey's	D AA n k II z
donkeys	D AA ng k II z
dont	D AA n T
door	D OO r
doors	D OO r z
dose	D oo s
dot	D AA T
doubtful	D aw T f aa l
doubts	D aw T s
dove	D aa v
doves	D aa v z
dowing	D aw ii ng
down	D aw n
downhill	D aw n hh ii l
downs	D aw n z
downstream	D aw n s T r II m
downstreams	D aw n s T r II m z
dozed	D oo z D
dozen	D aa z aa n
drag	D r ae g
dragged	D r ae g D
dragon	D r ae g aa n
drain	D r ee n
drained	D r ee n D
drank	D r ae ng k
draw	D r OO
drawee	D r OO f
drawing	D r OO ii ng
drawings	D r OO ii ng z
drawn	D r OO n
dream	D r II m
dreaming	D r II m ii ng
dreams	D r II m z
dreamt	D r ex m T
dreamy	D r II m II
dress	D r ex s
dressed	D r ex s T
drew	D r UU
dried	D r ay D
dries	D r ay z
drifted	D r ii f T aa D
drink	D r ii ng k
drinking	D r ii ng k ii ng
drive	D r ay v
drivers	D r ay v aa r z
drives	D r ay v z
driving	D r ay v ii ng
dromedary	D r AA m aa D ex r II
drone	D r oo n
drones	D r oo n z
drop	D r AA p
dropped	D r AA p T
dropping	D r AA p ii ng
drops	D r AA p s
drought	D r aw T
drove	D r oo v
drown	D r aw n
drowned	D r aw n D
drowning	D r aw n ii ng
drums	D r aa m z
drunk	D r aa ng k
dry	D r ay
drying	D r ay ii ng
duck	D aa k
ducks	D aa k s
due	D UU
dug	D aa g
dumb	D aa m
dunked	D aa ng k T
duper	D UU p aa r
during	D uu r ii ng
dusk	D aa s k
dust	D aa s T
dusty	D aa s T II
dutch	D aa c
dying	D ay ii ng
e	II
each	II c
eager	II g aa r
eagerly	II g aa r l II
eagle	II g aa l
eagles	II g aa l z
ear	II r
earlier	aa r l II aa r
early	aa r l II
earn	aa r n
earned	aa r n D
earring	ii r ii ng
ears	ii r z
earth	aa r th
ease	II z
easily	II z aa l II
east	II s T
easy	II z II
eat	II T
eaten	II T aa n
eating	II T ii ng
eats	II T s
ecosystem	II k oo s ii s T aa m
ecosystems	II k oo s ii s T aa m z
edge	ex j
education	ex j aa k ee sh aa n
effect	ii f ex k T
effective	ii f ex k T ii v
effort	ex f aa r T
efforts	ex f aa r T s
egg	ex g
eggs	ex g z
ehh	ex hh
eight	ee T
eighteen	ee T II n
eighteenth	ee T II n th
eighty	ee T II
either	II d aa r
elaborates	ii l ae b aa r ee T s
element	ex l aa m aa n T
elephant	ex l aa f aa n T
elephant's	ex l aa f aa n T s
elephants	ex l aa f aa n T s
ellappan	ex l aa p aa n
else	ex l s
elsewhere	ex l s w ex r
elves	ex l v z
em	ex m
embarrass	ii m b ex r aa s
embarrassed	ii m b ex r aa s T
embarrassing	ii m b ex r aa s ii ng
embraced	ex m b r ee s T
emily	ex m ii l II
emma	ex m aa
emotion	ii m oo sh aa n
emotionally	ii m oo sh n aa l II
empathize	ex m p aa th ay z
emperors	ex m p aa r aa r z
empower	ii m p aw aa r
emptied	ex m p T II D
empty	ex m p T II
enact	ii n ae k T
enchanted	ex n c ae n T ii D
encounter	ii n k aw n T aa r
encourage	ex n k aa r ii j
encouraged	ex n k aa r ii j D
end	ex n D
endangering	ex n D ee n j aa r ii ng
ended	ex n D aa D
endless	ex n D l aa s
endorsement	ex n D OO r s m aa n T
ends	ex n D z
endurance	ex n D aa r aa n s
enemies	ex n aa m II z
energy	ex n aa r j II
england	ii ng g l aa n D
english	ii ng g l ii sh
enigmatic	ex n ii g m ae T ii k
enjoy	ex n j oy
enjoyed	ex n j oy D
enjoying	ex n j oy ii ng
enjoyment	ex n j oy m aa n T
enormous	ii n OO r m aa s
enough	ii n aa f
enraged	ex n r ee j D
enriched	ex n r ii c T
enrolled	ex n r oo l D
ensure	ex n sh uu r
enter	ex n T aa r
entered	ex n T aa r D
enters	ex n T aa r z
entertainers	ex n T aa r T ee n aa r z
entertaining	ex n T aa r T ee n ii ng
entertainment	ex n T aa r T ee n m aa n T
enthusiastically	ii n th UU z II ae s T ii k l II
entire	ii n T ay aa r
entrance	ex n T r aa n s
entry	ex n T r II
envious	ex n v II aa s
environment	ii n v ay r aa n m aa n T
envy	ex n v II
equal	II k w aa l
equation	ii k w ee jz aa n
equipped	ii k w ii p T
era	ex r aa
erect	ii r ex k T
errant	ex r aa n T
erratic	ii r ae T ii k
error	ex r aa r
escape	ii s k ee p
especially	aa s p ex sh l II
etc	ex T s ex T aa r aa
europe	y uu r aa p
eve	II v
evelyn	ex v aa l aa n
even	II v ii n
evening	II v n ii ng
event	ii v ex n T
events	ii v ex n T s
eventually	ii v ex n c aa w aa l II
ever	ex v aa r
evergreen	ex v aa r g r II n
evermore	ex v aa r m OO r
every	ex v aa r II
everybody	ex v r II b AA D II
everybody's	ex v r II b AA D II z
everyday	ex v r II D ee
everyone	ex v r II w aa n
everyone's	ex v r II w aa n z
everything	ex v r II th ii ng
everytime	ex v r II T ay m
everywhere	ex v r II w ex r
evil	II v aa l
evolved	ii v AA l v D
ex	ex k s
exact	ii g z ae k T
exactly	ii g z ae k T l II
examinations	ii g z ae m aa n ee sh aa n z
examined	ii g z ae m aa n D
example	ii g z ae m p aa l
examples	ii g z ae m p aa l z
excellent	ex k s aa l aa n T
except	ii k s ex p T
excess	ex k s ex s
exchange	ii k s c ee n j
excite	ii k s ay T
excited	ii k s ay T aa D
excitedly	ii k s ay T aa D l II
excitely	ex k s ii T aa l II
excitement	ii k s ay T m aa n T
exciting	ii k s ay T ii ng
exclaim	ii k s k l ee m
exclaimed	ii k s k l ee m D
excusing	ii k s k y UU z ii ng
exercise	ex k s aa r s ay z
exercises	ex k s aa r s ay z aa z
exercising	ex k s aa r s ay z ii ng
exhausting	ii g z OO s T ii ng
existing	ii g z ii s T ii ng
expect	ii k s p ex k T
expectation	ex k s p ex k T ee sh aa n
expectations	ex k s p ex k T ee sh aa n z
expected	ii k s p ex k T aa D
expedition	ex k s p aa D ii sh aa n
expel	ii k s p ex l
expenses	ii k s p ex n s aa z
expensive	ii k s p ex n s ii v
experience	ii k s p ii r II aa n s
experiences	ii k s p ii r II aa n s ii z
experiments	ii k s p ex r aa m aa n T s
experts	ex k s p aa r T s
explain	ii k s p l ee n
explained	ii k s p l ee n D
explanation	ex k s p l aa n ee sh aa n
explore	ii k s p l OO r
explored	ii k s p l OO r D
explorer	ii k s p l OO r aa r
explorers	ii k s p l OO r aa r z
exploring	ii k s p l OO r ii ng
exports	ex k s p OO r T s
express	ii k s p r ex s
expression	ii k s p r ex sh aa n
expressions	ii k s p r ex sh aa n z
exquisitely	ex k s k w ii z ii T l II
extend	ii k s T ex n D
extended	ii k s T ex n D aa D
extention	ii k s T ex n sh aa n
extinguish	ii k s T ii ng g w ii sh
extremely	ii k s T r II m l II
eye	ay
eyes	ay z
eyesight	ay s ay T
f	ex f
fab	f ae b
fabric	f ae b r ii k
face	f ee s
faced	f ee s T
faces	f ee s aa z
facing	f ee s ii ng
fact	f ae k T
factor	f ae k T aa r
fade	f ee D
fail	f ee l
failed	f ee l D
fails	f ee l z
faint	f ee n T
fainted	f ee n T ii D
fair	f ex r
fake	f ee k
fall	f OO l
fallen	f AA l aa n
falls	f OO l z
families	f ae m aa l II z
family	f ae m aa l II
famous	f ee m aa s
fan	f ae n
fanciest	f ae n s II aa s T
fancy	f ae n s II
fans	f ae n z
far	f AA r
fare	f ex r
farm	f AA r m
farmer	f AA r m aa r
farmer's	f AA r m aa r z
farmers	f AA r m aa r z
farms	f AA r m z
fart	f AA r T
fashioning	f ae sh aa n ii ng
fast	f ae s T
faster	f ae s T aa r
fastly	f ae s T l II
fat	f ae T
father	f AA d aa r
father's	f AA d aa r z
fathers	f AA d aa r z
fatty	f ae T II
fault	f OO l T
favor	f ee v aa r
favorite	f ee v aa r ii T
favorites	f ee v aa r ii T s
favour	f ae v aw r
favourite	f ae v y UU r ay T
fear	f ii r
fears	f ii r z
feast	f II s T
feathers	f ex d aa r z
features	f II c aa r z
fed	f ex D
fee	f II
feed	f II D
feeding	f II D ii ng
feel	f II l
feeling	f II l ii ng
feelings	f II l ii ng z
feels	f II l z
fees	f II z
feet	f II T
fell	f ex l
felled	f ex l D
fellow	f ex l oo
felt	f ex l T
female	f II m ee l
fence	f ex n s
fend	f ex n D
ferocious	f aa r oo sh aa s
ferried	f ex r II D
fetch	f ex c
fever	f II v aa r
fevicol	f II v ii k aa l
few	f y UU
fewer	f y UU aa r
fibre	f ay b aa r
field	f II l D
fields	f II l D z
fifty	f ii f T II
fight	f ay T
fighting	f ay T ii ng
figure	f ii g y aa r
figures	f ii g y aa r z
file	f ay l
filed	f ay l D
files	f ay l z
fill	f ii l
filled	f ii l D
filling	f ii l ii ng
fills	f ii l z
film	f ii l m
films	f ii l m z
fin	f ii n
final	f ay n aa l
finally	f ay n aa l II
find	f ay n D
finds	f ay n D z
fine	f ay n
finely	f ay n l II
finest	f ay n aa s T
finger	f ii ng g aa r
fingers	f ii ng g aa r z
finicky	f ii n aa k II
finish	f ii n ii sh
finished	f ii n ii sh T
finishes	f ii n ii sh ii z
finishing	f ii n ii sh ii ng
finn	f ii n
finn's	f ii n z
fins	f ii n z
fire	f ay aa r
fired	f ay aa r D
firm	f aa r m
firmly	f aa r m l II
first	f aa r s T
fish	f ii sh
fisherman	f ii sh aa r m ae n
fishermen	f ii sh aa r m ii n
fishes	f ii sh aa z
fishing	f ii sh ii ng
fishy	f ii sh II
fit	f ii T
fits	f ii T s
fittings	f ii T ii ng z
five	f ay v
fix	f ii k s
flame	f l ee m
flap	f l ae p
flapped	f l ae p T
flapping	f l ae p ii ng
flash	f l ae sh
flat	f l ae T
flatter	f l ae T aa r
flavor	f l ee v aa r
flavour	f l ae v aa r
flaw	f l OO
flaws	f l OO z
flea	f l II
fleas	f l II z
fled	f l ex D
flee	f l II
fleet	f l II T
flew	f l UU
flies	f l ay z
flight	f l ay T
fling	f l ii ng
flip	f l ii p
flirt	f l aa r T
float	f l oo T
floated	f l oo T aa D
floating	f l oo T ii ng
flock	f l AA k
flogged	f l AA g D
flood	f l aa D
floor	f l OO r
floors	f l OO r z
flop	f l AA p
flopped	f l AA p T
flow	f l oo
flowed	f l oo D
flower	f l aw aa r
flowers	f l aw aa r z
flown	f l oo n
flows	f l oo z
flu	f l UU
flue	f l UU
fluffy	f l aa f II
flutter	f l aa T aa r
fly	f l ay
flying	f l ay ii ng
foam	f oo m
focus	f oo k aa s
foe	f oo
fog	f AA g
fold	f oo l D
folk	f oo k
folktale	f oo k T ee l
follow	f AA l oo
followed	f AA l oo D
followee	f AA l oo w II
followers	f AA l oo aa r z
following	f AA l oo ii ng
folly	f AA l II
fond	f AA n D
font	f AA n T
food	f UU D
foods	f UU D z
fool	f UU l
fooled	f UU l D
foolish	f UU l ii sh
foolishly	f UU l ii sh l II
foolishness	f UU l ii sh n aa s
foot	f uu T
football	f uu T b OO l
footing	f uu T ii ng
footpath	f uu T p ae th
foots	f uu T s
footstep	f uu T s T ex p
footsteps	f uu T s T ex p s
for	f OO r
forage	f OO r ii j
forbes	f OO r b z
force	f OO r s
forced	f OO r s T
ford	f OO r D
fore	f OO r
forehead	f OO r hh ex D
forest	f OO r aa s T
forests	f OO r aa s T s
forever	f aa r ex v aa r
forgave	f aa r g ee v
forget	f aa r g ex T
forgiveness	f aa r g ii v n aa s
forgot	f aa r g AA T
forgotten	f aa r g AA T aa n
fork	f OO r k
form	f OO r m
format	f OO r m ae T
former	f OO r m aa r
fort	f OO r T
forth	f OO r th
fortunate	f OO r c aa n aa T
forward	f OO r w aa r D
fought	f OO T
found	f aw n D
founded	f aw n D aa D
four	f OO r
fourteen	f OO r T II n
fourth	f OO r th
fox	f AA k s
fox's	f AA k s aa z
foxes	f AA k s aa z
frame	f r ee m
framers	f r ee m aa r z
frank	f r ae ng k
frank's	f r ae ng k s
frantically	f r ae n T aa k aa l II
fraud	f r OO D
fred	f r ex D
freddie	f r ex D II
free	f r II
freed	f r II D
freedom	f r II D aa m
fresh	f r ex sh
freshness	f r ex sh n aa s
fret	f r ex T
frey	f r ee
friday	f r ay D II
fried	f r ay D
friend	f r ex n D
friend's	f r ex n D z
friendly	f r ex n D l II
friends	f r ex n D z
friendship	f r ex n D sh ii p
frighten	f r ay T aa n
frightened	f r ay T aa n D
frocks	f r AA k s
frog	f r AA g
frogs	f r AA g z
from	f r aa m
front	f r aa n T
fronts	f r aa n T s
frowned	f r aw n D
frozen	f r oo z aa n
fruit	f r UU T
fruits	f r UU T s
frustrate	f r aa s T r ee T
frustrated	f r aa s T r ee T aa D
fry	f r ay
fuel	f y UU aa l
full	f uu l
fuller	f uu l aa r
fullness	f uu l n aa s
fully	f uu l II
fun	f aa n
fund	f aa n D
funny	f aa n II
fur	f aa r
furious	f y uu r II aa s
further	f aa r d aa r
fuse	f y UU z
futile	f y UU T aa l
future	f y UU c aa r
g	j II
gain	g ee n
gained	g ee n D
gallons	g ae l aa n z
galloping	g ae l aa p ii ng
game	g ee m
games	g ee m z
ganga	g ae ng g aa
gangwani	g AA ng w AA n II
gap	g ae p
garage	g aa r AA jz
garden	g AA r D aa n
garden's	g AA r D aa n z
gardener	g AA r D aa n aa r
gardens	g AA r D aa n z
garg	g AA r g
gargi	g AA r j II
garland	g AA r l aa n D
garry	g ae r II
gas	g ae s
gasped	g ae s p T
gate	g ee T
gather	g ae d aa r
gathered	g ae d aa r D
gathering	g ae d aa r ii ng
gave	g ee v
gay	g ee
gazed	g ee z D
gear	g ii r
geese	g II s
gem	j ex m
gems	j ex m z
general	j ex n aa r aa l
generally	j ex n aa r aa l II
generals	j ex n aa r aa l z
generation	j ex n aa r ee sh aa n
generations	j ex n aa r ee sh aa n z
generous	j ex n aa r aa s
genre	jz AA n r aa
gentle	j ex n T aa l
gentlemen	j ex n T aa l m ii n
gently	j ex n T l II
gents	j ex n T s
genuinely	j ex n y aa w aa n l II
george	j OO r j
germ	j aa r m
german	j aa r m aa n
germs	j aa r m z
get	g ex T
gets	g ex T s
getting	g ex T ii ng
ghat	g ae T
ghats	g ae T s
ghost	g oo s T
giant	j ay aa n T
giddiness	g ii D aa n aa s
gift	g ii f T
gifts	g ii f T s
gigantic	j ay g ae n T ii k
giggling	g ii g aa l ii ng
ging	j ii ng
giraffe	j aa r ae f
giraffes	j aa r ae f s
girl	g aa r l
girls	g aa r l z
give	g ii v
given	g ii v aa n
gives	g ii v z
giving	g ii v ii ng
glad	g l ae D
gladly	g l ae D l II
glamorous	g l ae m aa r aa s
glass	g l ae s
glasses	g l ae s aa z
gleaming	g l II m ii ng
glee	g l II
glennie	g l ex n II
glennie's	g l ex n II z
glide	g l ay D
global	g l oo b aa l
gloves	g l aa v z
glow	g l oo
glue	g l UU
glued	g l UU D
go	g oo
goal	g oo l
goat	g oo T
goats	g oo T s
gobb	g AA b
gobbed	g AA b D
gobbled	g AA b aa l D
god	g AA D
gods	g AA D z
goes	g oo z
going	g oo ii ng
gold	g oo l D
golden	g oo l D aa n
gone	g OO n
gonna	g AA n aa
good	g uu D
goodbye	g uu D b ay
goods	g uu D z
google	g UU g aa l
goon	g UU n
goose	g UU s
gorgeous	g OO r j aa s
gosht	g AA sh
got	g AA T
government	g aa v aa r m aa n T
grabbed	g r ae b D
graceful	g r ee s f aa l
gracefully	g r ee s f aa l II
gracious	g r ee sh aa s
grade	g r ee D
gradual	g r ae j UU aa l
gradually	g r ae j UU aa l II
grain	g r ee n
gram	g r ae m
grandfather	g r ae n D f AA d aa r
grandmother's	g r ae n D m aa d aa r z
grandpa	g r ae n D p AA
graph	g r ae f
grass	g r ae s
grassed	g r ae s T
grasses	g r ae s aa z
grassland	g r ae s l ae n D
grasslands	g r ae s l ae n D z
grateful	g r ee T f aa l
gratefully	g r ee T f aa l II
grave	g r ee v
graveyard	g r ee v y AA r D
gravid	g r ae v aa D
gravity	g r ae v aa T II
gravy	g r ee v II
gray	g r ee
grazed	g r ee z D
great	g r ee T
greatest	g r ee T aa s T
greatness	g r ee T n aa s
greed	g r II D
greedy	g r II D II
green	g r II n
greener	g r II n aa r
greens	g r II n z
greeted	g r II T aa D
greeting	g r II T ii ng
grew	g r UU
grey	g r ee
grief	g r II f
griefs	g r II f s
grim	g r ii m
groaned	g r oo n D
grocery	g r oo s aa r II
groom	g r UU m
groom's	g r UU m z
grooms'	g r UU m z
grooms'	g r UU m s
grooming	g r UU m ii ng
groped	g r oo p T
ground	g r aw n D
grounding	g r aw n D ii ng
grounds	g r aw n D z
group	g r UU p
group's	g r UU p s
grouped	g r UU p T
groups	g r UU p s
grove	g r oo v
grow	g r oo
growing	g r oo ii ng
growled	g r aw l D
grown	g r oo n
grows	g r oo z
grudge	g r aa j
grumble	g r aa m b aa l
guard	g AA r D
guarded	g AA r D aa D
guarding	g AA r D ii ng
guards	g AA r D z
guesses	g ex s aa z
guest	g ex s T
guests	g ex s T s
guide	g ay D
guidelines	g ay D l ay n z
guilt	g ii l T
gulp	g aa l p
gum	g aa m
gun	g aa n
gupta	g uu p T aa
gupto	g aa p T oo
gut	g aa T
guts	g aa T s
guy	g ay
h	ee c
ha	hh AA
haan	hh AA n
habit	hh ae b aa T
habitat	hh ae b aa T ae T
habits	hh ae b aa T s
hack	hh ae k
had	hh ae D
hadn't	hh ae D aa n T
hag	hh ae g
hai	hh ay
hailed	hh ee l D
hails	hh ee l z
hair	hh ex r
haircut	hh ex r k aa T
hairs	hh ex r z
hairz	hh ex r z
half	hh ae f
hall	hh OO l
halt	hh OO l T
halwa	hh ae l w aa
hammer	hh ae m aa r
hammered	hh ae m aa r D
hand	hh ae n D
handed	hh ae n D aa D
handful	hh ae n D f uu l
handfuls	hh ae n D f uu l z
handicapped	hh ae n D II k ae p T
handkerchief	hh ae ng k aa r c ii f
handkerchiefs	hh ae ng k aa r c aa f s
handle	hh ae n D aa l
handmade	hh ae n D m ee D
hands	hh ae n D z
hang	hh ae ng
happen	hh ae p aa n
happened	hh ae p aa n D
happening	hh ae p aa n ii ng
happens	hh ae p aa n z
happiest	hh ae p II aa s T
happily	hh ae p aa l II
happy	hh ae p II
hard	hh AA r D
harder	hh AA r D aa r
hardly	hh AA r D l II
hare	hh ex r
hares	hh ex r z
hari	hh AA r II
harm	hh AA r m
harmful	hh AA r m f aa l
harp	hh AA r p
harries	hh ex r II z
harry	hh ex r II
harry's	hh ex r II z
harvest	hh AA r v aa s T
haryana	hh ex r y AA n aa
has	hh ae z
hat	hh ae T
hatch	hh ae c
hatched	hh ae c T
hate	hh ee T
hatred	hh ee T r aa D
haunted	hh OO n T aa D
have	hh ae v
haven't	hh ae v aa n T
having	hh ae v ii ng
hawk	hh OO k
hawks	hh OO k s
hay	hh ee
he	hh II
he'll	hh II l
head	hh ex D
headed	hh ex D aa D
heading	hh ex D ii ng
headphones	hh ex D f oo n z
heads	hh ex D z
headstone	hh ex D s T oo n
headstones	hh ex D s T oo n z
heal	hh II l
healer	hh II l aa r
healing	hh II l ii ng
health	hh ex l th
healthy	hh ex l th II
heap	hh II p
hear	hh II r
heard	hh aa r D
hearing	hh II r ii ng
hears	hh II r z
heart	hh AA r T
heartbroken	hh AA r T b r oo k aa n
hearted	hh AA r T aa D
heartily	hh AA r T aa l II
hearting	hh AA r T ii ng
hearts	hh AA r T s
heat	hh II T
heavier	hh ex v II aa r
heavy	hh ex v II
heed	hh II D
heeding	hh II D ii ng
height	hh ay T
heights	hh ay T s
held	hh ex l D
helen	hh ex l aa n
helen's	hh ex l ii n z
hell	hh ex l
hellephant	hh ex l aa f aa n T
hello	hh aa l oo
helmet	hh ex l m aa T
help	hh ex l p
helped	hh ex l p T
helpers	hh ex l p aa r z
helpful	hh ex l p f aa l
helping	hh ex l p ii ng
helps	hh ex l p s
hen	hh ex n
hence	hh ex n s
henry	hh ex n r II
hens	hh ex n z
her	hh aa r
herb	aa r b
herding	hh aa r D ii ng
here	hh II r
here's	hh ii r z
hero	hh ii r oo
heroes	hh ii r oo z
heroic	hh ii r oo ii k
herring	hh ex r ii ng
herself	hh aa r s ex l f
hey	hh ee
hi	hh ay
hibernate	hh ay b aa r n ee T
hibernating	hh ay b aa r n ee T ii ng
hid	hh ii D
hidden	hh ii D aa n
hide	hh ay D
hides	hh ay D z
hiding	hh ay D ii ng
high	hh ay
higher	hh ay aa r
highest	hh ay aa s T
highlights	hh ay l ay T s
highway	hh ay w ee
hike	hh ay k
hiking	hh ay k ii ng
hill	hh ii l
hills	hh ii l z
him	hh ii m
himself	hh ii m s ex l f
hind	hh ay n D
hindi	hh ii n D II
hips	hh ii p s
hire	hh ay aa r
his	hh ii z
hiss	hh ii s
historian	hh ii s T OO r II aa n
historical	hh ii s T OO r ii k aa l
history	hh ii s T aa r II
hit	hh ii T
hits	hh ii T s
ho	hh oo
hockey	hh AA k II
hodjaa	hh AA j aa
hold	hh oo l D
holding	hh oo l D ii ng
holds	hh oo l D z
hole	hh oo l
holed	hh oo l D
holes	hh oo l z
holi	hh oo l II
holiday	hh AA l aa D ee
holing	hh oo l ii ng
holliday	hh AA l ii D ee
hollow	hh AA l oo
holly	hh AA l II
holy	hh oo l II
home	hh oo m
homes	hh oo m z
hometown	hh oo m T aw n
homework	hh oo m w aa r k
honer	hh oo n aa r
honestly	AA n aa s T l II
honey	hh aa n II
honeybee	hh aa n II b II
honeybees	hh aa n II b II z
honked	hh AA ng k T
honking	hh OO ng k ii ng
honor	AA n aa r
hook	hh uu k
hoop	hh UU p
hop	hh AA p
hope	hh oo p
hoped	hh oo p T
hopefully	hh oo p f aa l II
hoping	hh oo p ii ng
hopped	hh AA p T
hopping	hh AA p ii ng
hor	hh OO r
horizon	hh aa r ay z aa n
horn	hh OO r n
horns	hh OO r n z
horrer	hh OO r aa r
horror	hh OO r aa r
